Market,Ticker,Market Period,Number of observations,Variance Ratio statistic,Variance Ratio p-value,Variance Ratio result,Lag-1 autocorrelation,Autocorrelation p-value,Autocorrelation result,Runs Test statistic,Runs Test p-value,Runs Test result,Number of tests rejecting EMH
United States benchmark,SPY,Normal Pre-COVID Period,251,0.8885810391622175,0.07752876176041677,Fail to Reject EMH,-0.09647397652007565,0.12640451238846473,Fail to Reject EMH,-1.0619193169598964,0.2882723148385598,Fail to Reject EMH,0
United States benchmark,SPY,COVID Shock,292,0.6966773842073287,2.1813534953477042e-07,Reject EMH,-0.3050746550357213,1.8569270196270895e-07,Reject EMH,2.0378418164908565,0.0415657549077189,Reject EMH,3
United States benchmark,SPY,Post-COVID Recovery,190,0.556773604137357,0.07037891955682654,Fail to Reject EMH,-0.05422730234485043,0.4547788315022915,Fail to Reject EMH,0.40353956680716624,0.6865513333710882,Fail to Reject EMH,0
United States benchmark,SPY,Inflation / Interest Rate Shock,250,0.6466485897822306,0.4355895961720833,Fail to Reject EMH,0.007113867947656841,0.9104427249540168,Fail to Reject EMH,-0.2990598382928567,0.764894389098338,Fail to Reject EMH,0
United States benchmark,SPY,AI Market Period,501,0.7273102101982496,0.2194035592594491,Fail to Reject EMH,0.04063007745656442,0.36312624531748383,Fail to Reject EMH,-0.2954934935949759,0.7676169219249674,Fail to Reject EMH,0
United Kingdom,EWU,Normal Pre-COVID Period,251,1.1473078697098917,0.6386514528012883,Fail to Reject EMH,0.012668206834549545,0.8409314851878544,Fail to Reject EMH,1.469650334149522,0.14165648046781953,Fail to Reject EMH,0
United Kingdom,EWU,COVID Shock,292,0.8302653650175275,0.0037265496849908162,Reject EMH,-0.17182618888694254,0.0033229516005914422,Reject EMH,0.5720698064554081,0.5672746835032125,Fail to Reject EMH,2
United Kingdom,EWU,Post-COVID Recovery,190,0.6084051072160979,0.10989184484985565,Fail to Reject EMH,-0.11320052152564782,0.11867447578600086,Fail to Reject EMH,1.3695483877084496,0.17082792027733326,Fail to Reject EMH,0
United Kingdom,EWU,Inflation / Interest Rate Shock,250,0.8350817241721478,0.7159411252289147,Fail to Reject EMH,-0.009779830587405256,0.8771108900223124,Fail to Reject EMH,0.8918904841234154,0.3724516356406598,Fail to Reject EMH,0
United Kingdom,EWU,AI Market Period,501,0.6074283009732105,0.22011671356548274,Fail to Reject EMH,-0.04512861172605066,0.31244017834222754,Fail to Reject EMH,0.32755583088169393,0.7432475227711253,Fail to Reject EMH,0
