Market,Normal Pre-COVID Period,COVID Shock,Post-COVID Recovery,Inflation / Interest Rate Shock,AI Market Period
United States benchmark,0/3,3/3,0/3,0/3,0/3
United Kingdom,0/3,2/3,0/3,0/3,0/3
Germany,0/3,2/3,0/3,0/3,0/3
Japan,2/3,3/3,1/3,0/3,0/3
China,0/3,3/3,0/3,0/3,2/3
India,0/3,2/3,0/3,0/3,2/3
Brazil,0/3,3/3,3/3,0/3,0/3
Australia,0/3,2/3,1/3,0/3,0/3
South Korea,1/3,2/3,0/3,0/3,0/3
Canada,0/3,2/3,0/3,0/3,0/3
Developed Markets benchmark,0/3,2/3,0/3,0/3,0/3
Emerging Markets benchmark,0/3,3/3,0/3,0/3,0/3
