date,price,sma,signal,trend_following,buy_and_hold
2021-07-12,408.5083312988281,358.67477752685545,1,99990.0009999,99990.0009999
2021-07-13,407.1157836914063,359.21481536865235,1,99649.14911025602,99649.14911025602
2021-07-14,407.7232971191406,359.7337121582031,1,99797.8493045788,99797.8493045788
2021-07-15,406.3306884765625,360.2204043579102,1,99456.98247544676,99456.98247544676
2021-07-16,403.1435852050781,360.6995747375488,1,98676.87975810611,98676.87975810611
2021-07-19,397.1900329589844,361.1373278808594,1,97219.63727507727,97219.63727507727
2021-07-20,402.8818664550781,361.5936003112793,1,98612.81923334034,98612.81923334034
2021-07-21,406.1438598632813,362.0809767150879,1,99411.25270252045,99411.25270252045
2021-07-22,406.9943237304688,362.54523681640626,1,99619.41952903311,99619.41952903311
2021-07-23,411.1814575195313,363.0527621459961,1,100644.29828835714,100644.29828835714
2021-07-26,412.19085693359375,363.5383819580078,1,100891.36754175645,100891.36754175645
2021-07-27,410.3122253417969,364.0006474304199,1,100431.53756926856,100431.53756926856
2021-07-28,410.1440124511719,364.44787887573244,1,100390.36434019804,100390.36434019804
2021-07-29,411.8450317382813,364.87781967163085,1,100806.72040245542,100806.72040245542
2021-07-30,409.8449401855469,365.30839263916016,1,100317.1608487446,100317.1608487446
2021-08-02,408.9851379394531,365.7448370361328,1,100106.70828056004,100106.70828056004
2021-08-03,412.3123168945313,366.1999052429199,1,100921.0971229794,100921.0971229794
2021-08-04,410.2841796875,366.645803527832,1,100424.6728745088,100424.6728745088
2021-08-05,412.8824462890625,367.12910263061525,1,101060.64688087048,101060.64688087048
2021-08-06,413.5647277832031,367.60947998046873,1,101227.64794805663,101227.64794805663
2021-08-09,413.2283020019531,368.0911798095703,1,101145.30148991555,101145.30148991555
2021-08-10,413.7423706054688,368.5667582702637,1,101271.12932803117,101271.12932803117
2021-08-11,414.7704162597656,369.0420684814453,1,101522.76259503029,101522.76259503029
2021-08-12,416.0134887695313,369.5531349182129,1,101827.02767843564,101827.02767843564
2021-08-13,416.7706298828125,370.0733959960937,1,102012.3520277172,102012.3520277172
2021-08-16,417.751953125,370.6520051574707,1,102252.54911661275,102252.54911661275
2021-08-17,415.0134582519531,371.20157440185545,1,101582.25163645223,101582.25163645223
2021-08-18,410.4710998535156,371.7443342590332,1,100470.4250566672,100470.4250566672
2021-08-19,411.1066589355469,372.27335189819337,1,100625.98994574974,100625.98994574974
2021-08-20,414.3778991699219,372.7917739868164,1,101426.68674736968,101426.68674736968
2021-08-23,418.0230102539063,373.29370269775393,1,102318.89538305043,102318.89538305043
2021-08-24,418.6865234375,373.7679747009277,1,102481.30255766066,102481.30255766066
2021-08-25,419.5650024414063,374.247008972168,1,102696.32660918907,102696.32660918907
2021-08-26,417.08831787109375,374.6933186340332,1,102090.1120630264,102090.1120630264
2021-08-27,420.8175048828125,375.16067825317384,1,103002.89984349838,103002.89984349838
2021-08-30,422.6680603027344,375.6251321411133,1,103455.85765148248,103455.85765148248
2021-08-31,422.0418395996094,376.10245071411134,1,103302.57850407185,103302.57850407185
2021-09-01,422.2661743164063,376.5582843017578,1,103357.48859240595,103357.48859240595
2021-09-02,423.5652160644531,376.99994857788084,1,103675.4531863547,103675.4531863547
2021-09-03,423.4625244140625,377.4501138305664,1,103650.31749770769,103650.31749770769
2021-09-07,421.9484558105469,377.91277267456053,1,103279.72108735271,103279.72108735271
2021-09-08,421.4343566894531,378.36592651367187,1,103153.88577949308,103153.88577949308
2021-09-09,419.6304931640625,378.8213873291016,1,102712.35667986855,102712.35667986855
2021-09-10,416.3218688964844,379.2504583740234,1,101902.50944181693,101902.50944181693
2021-09-13,417.3873291015625,379.6582278442383,1,102163.30061499176,102163.30061499176
2021-09-14,415.1348876953125,380.05732391357424,1,101611.97374793113,101611.97374793113
2021-09-15,418.6023559570313,380.4690881347656,1,102460.70100363735,102460.70100363735
2021-09-16,417.9388427734375,380.88497817993164,1,102298.2938290271,102298.2938290271
2021-09-17,413.8675842285156,381.26220458984375,1,101301.77768776925,101301.77768776925
2021-09-20,406.966796875,381.60136749267576,1,99612.68181992177,99612.68181992177
